PL_Code,Forecast_Method,MAE,RMSE,MAPE,sMAPE,Bias,Mean_Forecast_Error,Tracking_Signal,Forecastability_Score,Forecastability_Class,Forecast_Volume,Forecast_CV,Demand_Intermittency,Forecast_Confidence,Planning_Strategy,Backtest_Origins
400600041170,SBA,142.5,142.5,,200.0,0.0,142.5,18.0,15.59,Very Low,1710.0,,97.62,Medium,Risk-driven,18
401107494209,SBA,,,,,,,,20.17,Very Low,51516.6,,83.33,Medium,Risk-driven,0
402500150037,TSB,48.5578,88.8993,71.19,183.08,-0.356,-12.7142,-7.3314,23.25,Very Low,246.8342,2.4892,78.85,Low,Risk-driven,28
405000010983,TSB,331.5233,480.7066,446.35,138.34,-0.3097,-93.9503,-2.2671,38.61,Low,2470.7986,1.5845,59.38,Low,Policy-driven,8
409002561998,Croston,6.0384,15.2969,149.34,121.55,0.0585,0.283,1.4059,54.2,Medium,51.8672,3.1649,24.07,Low,Forecast-assisted,30
40981381,SBA,1.8423,1.8423,,200.0,0.0,1.8423,30.0,16.39,Very Low,22.1079,,94.44,Medium,Risk-driven,30
421100070120,TSB,1.8027,1.8979,,200.0,0.0,1.8027,11.0,17.44,Very Low,10.8822,,88.57,Low,Risk-driven,11
423500060515,SBA,0.1357,0.1357,,200.0,0.0,0.1357,10.0,14.9,Very Low,1.6286,,97.06,Medium,Risk-driven,10
429079389199,TSB,1.7983,4.294,95.69,199.21,-0.0255,-0.0243,-0.2836,27.76,Very Low,3.7036,4.5087,86.67,Low,Risk-driven,21
430200021416,SBA,0.8984,0.8996,57.22,196.01,12.3316,0.8221,27.4522,18.94,Very Low,10.679,13.4935,87.04,Medium,Risk-driven,30
430200021910,SBA,1.0364,1.0364,,200.0,0.0,1.0364,26.0,16.0,Very Low,12.4364,,96.0,Medium,Risk-driven,26
430200028538,TSB,3.2791,3.826,97.62,99.7,1.1383,2.9595,9.0253,46.06,Low,57.977,1.4715,50.0,Low,Policy-driven,10
430600150050,SBA,,,,,,,,20.17,Very Low,22.8,,83.33,Medium,Risk-driven,0
430800141263,SBA,2.7556,2.8411,249.45,196.82,77.1569,2.7556,28.0,19.88,Very Low,25.0582,79.5514,82.69,Medium,Risk-driven,28
431002240078,SBA,,,,,,,,21.42,Very Low,11.4,,93.33,Medium,Risk-driven,0
431500022334,TSB,1.4258,1.4311,,200.0,0.0,1.4258,3.0,18.38,Very Low,13.808,,81.48,Low,Risk-driven,3
432900164003,SBA,0.3519,0.3519,,200.0,0.0,0.3519,9.0,16.02,Very Low,4.2222,,90.91,Medium,Risk-driven,9
45174416,SES/Holt,5.5378,7.3166,48.68,66.85,0.1258,1.1741,6.3606,68.73,Medium,102.9098,0.7839,16.67,Medium,Forecast-assisted,30
460151414110,SBA,1.5243,2.297,88.12,197.77,1.1337,0.5967,7.4376,16.55,Very Low,13.119,4.3643,95.35,Medium,Risk-driven,19
461500560400,SBA,,,,,,,,25.09,Very Low,228.0,,66.67,Medium,Risk-driven,0
462100771569,TSB,152.8963,276.33,92.52,189.15,-0.8593,-127.6962,-8.3518,21.21,Very Low,797.413,1.8596,79.41,Low,Risk-driven,10
464214132778,SBA,,,,,,,,23.08,Very Low,34.2,,86.67,Medium,Risk-driven,0
469033852322,SBA,,,,,,,,25.09,Very Low,250.8,,66.67,Medium,Risk-driven,0
469041991352,SBA,,,,,,,,25.09,Very Low,456.0,,66.67,Medium,Risk-driven,0
469062580055,SBA,64.9588,65.4343,130.64,193.95,17.0944,64.9588,20.0,18.33,Very Low,757.8258,17.2196,90.91,Medium,Risk-driven,20
469863050743,TSB,,,,,,,,30.88,Low,17.3745,,58.82,Low,Policy-driven,0
470200493776,SBA,,,,,,,,26.62,Very Low,43.89,,87.5,Medium,Risk-driven,0
47200250,SBA,1.4655,1.5651,58.01,184.19,2.1531,0.9361,14.6919,22.02,Very Low,15.32,3.5997,82.98,Medium,Risk-driven,23
500500680030,SBA,732.6715,1226.1885,79.98,190.96,-0.2807,-131.8971,-5.2206,19.41,Very Low,3954.5943,2.6097,88.68,Medium,Risk-driven,29
501000243442,SBA,8.1113,8.7282,112.99,174.44,8.1113,8.1113,5.0,20.0,Very Low,35.5043,8.7282,86.21,Medium,Risk-driven,5
501000263740,TSB,34.6987,39.8361,73.62,175.35,7.7214,33.7168,29.1511,26.26,Very Low,344.1746,9.1228,72.22,Low,Risk-driven,30
501000423936,SBA,2.85,2.85,,200.0,0.0,2.85,18.0,15.59,Very Low,34.2,,97.62,Medium,Risk-driven,18
501300041401,SBA,9.5,9.5,,200.0,0.0,9.5,9.0,14.51,Very Low,114.0,,96.97,Medium,Risk-driven,9
50232319,SBA,5.861,6.5015,98.25,153.3,0.8138,2.5536,12.635,42.34,Low,59.8518,2.0719,45.28,Medium,Policy-driven,29
502355361120,TSB,,,,,,,,25.17,Very Low,24.3357,,70.0,Low,Risk-driven,0
502355561004,TSB,2.3362,2.5312,,200.0,0.0,2.3362,14.0,17.63,Very Low,11.6418,,89.47,Low,Risk-driven,14
502355770020,TSB,7.1773,10.6168,71.8,137.86,-0.282,-1.935,-7.8185,42.98,Low,76.453,1.5472,45.28,Low,Policy-driven,29
503523410740,TSB,2.5604,2.6924,103.68,166.29,2.5624,2.082,13.0103,29.65,Very Low,16.7082,3.3138,65.0,Low,Risk-driven,16
503523410891,TSB,1.1464,1.1968,,200.0,0.0,1.1464,10.0,17.84,Very Low,7.3647,,85.29,Low,Risk-driven,10
50540324,Croston,147.2029,194.7167,64.0,76.18,-0.119,-25.1582,-5.1272,64.08,Medium,2466.12,0.9211,20.37,Low,Forecast-assisted,30
50541523,TSB,25.9015,27.4392,44.68,167.27,1.3694,15.1091,17.4999,28.14,Very Low,212.2548,2.4869,70.37,Low,Risk-driven,30
50550081,TSB,75.7499,97.5675,48.73,117.88,-0.1613,-13.1332,-5.2013,50.32,Medium,976.5185,1.1986,38.89,Low,Forecast-assisted,30
508500010799,SBA,,,,,,,,28.75,Very Low,5.6274,,75.0,Medium,Risk-driven,0
508500690051,SBA,0.8636,0.8636,,200.0,0.0,0.8636,12.0,16.39,Very Low,10.3636,,94.44,Medium,Risk-driven,12
508501090018,SBA,0.95,0.95,,200.0,0.0,0.95,9.0,14.51,Very Low,11.4,,96.97,Medium,Risk-driven,9
508502470029,SBA,0.95,0.95,,200.0,0.0,0.95,8.0,14.11,Very Low,11.4,,96.88,Medium,Risk-driven,8
508503310060,SBA,2.85,2.85,,200.0,0.0,2.85,13.0,15.68,Very Low,34.2,,97.3,Medium,Risk-driven,13
508503570895,SBA,,,,,,,,27.94,Very Low,3.0138,,70.59,Medium,Risk-driven,0
509000396559,TSB,,,,,,,,31.83,Low,60026.5174,,60.0,Low,Policy-driven,0
509000405457,SBA,,,,,,,,26.83,Very Low,25.2749,,80.0,Medium,Risk-driven,0
509004730016,SBA,0.95,0.95,,200.0,0.0,0.95,22.0,15.54,Very Low,11.4,,97.83,Medium,Risk-driven,22
509051280160,SBA,0.95,0.95,,200.0,0.0,0.95,8.0,14.11,Very Low,11.4,,96.88,Medium,Risk-driven,8
520504660025,TSB,1.6551,2.015,,200.0,0.0,1.6551,24.0,17.08,Very Low,4.1318,,91.67,Low,Risk-driven,24
521100810024,SBA,2.3812,2.3812,,200.0,0.0,2.3812,30.0,17.78,Very Low,28.5748,,88.89,Medium,Risk-driven,30
521102480039,SBA,30.4,30.4,,200.0,0.0,30.4,18.0,15.59,Very Low,364.8,,97.62,Medium,Risk-driven,18
521102480040,SBA,30.4,30.4,,200.0,0.0,30.4,18.0,15.59,Very Low,364.8,,97.62,Medium,Risk-driven,18
521104340026,TSB,1.8496,1.8624,,200.0,0.0,1.8496,4.0,21.86,Very Low,16.938,,60.71,Low,Risk-driven,4
521501630045,SBA,,,,,,,,25.09,Very Low,22.8,,66.67,Medium,Risk-driven,0
522002010024,TSB,28.7009,35.1838,50.18,191.17,3.0068,20.0452,18.8572,21.94,Very Low,85.2935,5.2776,78.43,Low,Risk-driven,27
522002180021,SBA,0.95,0.95,,200.0,0.0,0.95,27.0,15.49,Very Low,11.4,,98.04,Medium,Risk-driven,27
522002180033,SBA,1.5556,1.5892,52.5,195.23,9.45,1.4,24.3,16.81,Very Low,15.2,10.7268,96.08,Medium,Risk-driven,27
522004290085,SBA,,,,,,,,22.8,Very Low,45.125,,77.78,Medium,Risk-driven,0
522004290103,SBA,,,,,,,,27.09,Very Low,27.2894,,66.67,Medium,Risk-driven,0
522004290115,SBA,,,,,,,,20.03,Very Low,28.5,,88.89,Medium,Risk-driven,0
522004290127,SBA,,,,,,,,22.8,Very Low,26.448,,77.78,Medium,Risk-driven,0
522004290139,SBA,,,,,,,,20.03,Very Low,39.9,,88.89,Medium,Risk-driven,0
528100010050,TSB,34.9699,41.7122,54.43,180.08,0.8167,14.4284,12.3779,26.82,Very Low,101.1423,2.3611,66.67,Low,Risk-driven,30
528100010103,SBA,7.8331,8.3816,67.79,192.53,15.6662,7.8331,20.0,20.28,Very Low,82.1111,16.7631,84.09,Medium,Risk-driven,20
528100030023,TSB,5.0978,9.1942,72.8,191.79,0.529,1.2344,7.2642,21.99,Very Low,10.5171,3.9404,77.78,Low,Risk-driven,30
539800218676,SBA,,,,,,,,30.76,Low,15.0016,,66.67,Medium,Policy-driven,0
539800218688,SBA,,,,,,,,30.1,Low,34.27,,66.67,Medium,Policy-driven,0
539800218690,SBA,,,,,,,,24.75,Very Low,12.5967,,80.0,Medium,Risk-driven,0
539800456678,SBA,,,,,,,,21.42,Very Low,68.4,,93.33,Medium,Risk-driven,0
539800639499,SBA,0.9945,2.9454,97.18,199.56,-0.2861,-0.1717,-4.3153,17.12,Very Low,5.559,4.909,91.84,Medium,Risk-driven,25
539800699782,SBA,3.2882,3.2882,,200.0,0.0,3.2882,18.0,17.38,Very Low,39.4589,,90.48,Medium,Risk-driven,18
539801491121,TSB,0.4453,0.5042,,200.0,0.0,0.4453,18.0,18.57,Very Low,1.6988,,85.71,Low,Risk-driven,18
539801491133,SBA,1.6903,1.6903,,200.0,0.0,1.6903,18.0,16.79,Very Low,20.2831,,92.86,Medium,Risk-driven,18
539801491145,SBA,1.9,1.9,,200.0,0.0,1.9,18.0,15.59,Very Low,22.8,,97.62,Medium,Risk-driven,18
539801491157,SBA,1.9,1.9,,200.0,0.0,1.9,18.0,15.59,Very Low,22.8,,97.62,Medium,Risk-driven,18
539801491169,SBA,0.95,0.95,,200.0,0.0,0.95,18.0,15.59,Very Low,11.4,,97.62,Medium,Risk-driven,18
539801568695,SBA,0.5352,0.7545,84.17,196.35,0.9928,0.1986,5.5648,18.84,Very Low,4.7172,3.7725,87.18,Medium,Risk-driven,15
539801568713,SBA,0.9261,0.9272,54.44,191.06,5.3939,0.7706,11.6485,19.85,Very Low,10.9657,6.4905,86.84,Medium,Risk-driven,14
539801568725,SBA,0.7093,0.7093,,200.0,0.0,0.7093,14.0,18.29,Very Low,8.5113,,86.84,Medium,Risk-driven,14
539802239713,TSB,55.6238,75.0723,876.07,194.95,1.7031,27.7539,13.4718,20.79,Very Low,651.6892,4.6067,80.39,Low,Risk-driven,27
539802616569,SBA,,,,,,,,21.73,Very Low,22.8,,93.75,Medium,Risk-driven,0
539802616703,SBA,,,,,,,,20.84,Very Low,11.4,,92.31,Medium,Risk-driven,0
539802804118,TSB,568.1122,618.1721,461.57,136.96,1.0289,361.9465,18.476,35.94,Low,3515.1353,1.7572,60.38,Low,Policy-driven,29
539802804167,TSB,1333.3258,2012.8279,77.45,174.91,-0.6428,-814.2691,-18.3212,27.26,Very Low,13921.7785,1.5891,68.52,Low,Risk-driven,30
539802831377,SBA,1.2214,1.544,79.26,195.42,1.4684,0.5874,7.2132,19.01,Very Low,11.628,3.8601,87.18,Medium,Risk-driven,15
539802852010,SBA,2.755,2.755,,200.0,0.0,2.755,19.0,16.16,Very Low,33.06,,95.35,Medium,Risk-driven,19
539802862386,TSB,0.6051,1.1797,76.32,187.82,-0.0802,-0.0294,-1.4572,29.51,Very Low,3.6936,3.2174,75.93,Low,Risk-driven,30
539802900879,SBA,,,,,,,,22.05,Very Low,22.8,,94.12,Medium,Risk-driven,0
539804752183,TSB,1726.342,1726.342,,200.0,0.0,1726.342,1.0,25.92,Very Low,18644.4937,,68.0,Low,Risk-driven,1
539805021573,SBA,1.9,1.9,,200.0,0.0,1.9,9.0,14.51,Very Low,22.8,,96.97,Medium,Risk-driven,9
539805046442,TSB,0.3411,1.4607,99.82,199.98,-0.7172,-0.1912,-16.82,15.93,Very Low,0.8955,5.4775,96.3,Low,Risk-driven,30
539805046570,TSB,32.894,57.4001,173.83,145.44,0.5724,10.4268,7.2906,33.59,Low,241.2479,3.1508,63.83,Low,Policy-driven,23
539805350052,TSB,5.9902,10.4171,63.91,187.34,0.1974,0.6134,2.867,22.45,Very Low,32.2283,3.3526,90.38,Low,Risk-driven,28
539805423687,TSB,232.754,278.3695,79.14,170.39,1.1641,120.7151,15.5591,27.13,Very Low,908.2799,2.6844,72.22,Low,Risk-driven,30
539805423699,SBA,12.6998,14.1508,64.68,189.64,1.8334,7.3334,17.3233,19.13,Very Low,126.292,3.5377,90.74,Medium,Risk-driven,30
539805423857,SBA,3.8,3.8,,200.0,0.0,3.8,16.0,15.62,Very Low,45.6,,97.5,Medium,Risk-driven,16
539805423912,SBA,0.38,0.38,,200.0,0.0,0.38,8.0,14.11,Very Low,4.56,,96.88,Medium,Risk-driven,8
539805423924,SBA,0.57,0.57,,200.0,0.0,0.57,8.0,14.11,Very Low,6.84,,96.88,Medium,Risk-driven,8
539805714955,SBA,,,,,,,,24.54,Very Low,159.6,,95.83,Medium,Risk-driven,0
539805721194,SBA,,,,,,,,21.42,Very Low,57.0,,75.0,Medium,Risk-driven,0
539805734220,SBA,0.9929,1.0635,49.8,153.76,0.2781,0.1987,2.8012,40.08,Low,10.7528,1.4889,60.53,Medium,Policy-driven,14
539805736252,SBA,,,,,,,,21.42,Very Low,57.0,,75.0,Medium,Risk-driven,0
539805771483,SBA,,,,,,,,38.92,Low,11.4,,33.33,Medium,Policy-driven,0
539805825807,SBA,0.475,0.475,,200.0,0.0,0.475,25.0,15.51,Very Low,5.7,,97.96,Medium,Risk-driven,25
539805880508,SBA,,,,,,,,21.73,Very Low,114.0,,93.75,Medium,Risk-driven,0
539805880545,SBA,,,,,,,,22.91,Very Low,1224.36,,85.71,Medium,Risk-driven,0
539806099363,TSB,0.9968,1.7761,65.09,190.89,0.2264,0.1174,3.1792,24.04,Very Low,3.9408,3.4253,78.43,Low,Risk-driven,27
539806099570,SBA,0.7516,2.071,100.0,191.67,-0.1962,-0.0817,-2.6098,20.45,Very Low,4.3846,4.9704,97.92,Medium,Risk-driven,24
539809127060,SBA,66.5,66.5,,200.0,0.0,66.5,7.0,13.72,Very Low,798.0,,96.77,Medium,Risk-driven,7
539809943549,SBA,,,,,,,,24.9,Very Low,81.3545,,72.73,Medium,Risk-driven,0
539809943550,SBA,,,,,,,,20.36,Very Low,171.0,,90.91,Medium,Risk-driven,0
539810160026,TSB,89.1327,171.8198,85.3,191.21,0.5233,20.5597,6.4586,21.35,Very Low,251.0511,4.3736,80.77,Low,Risk-driven,28
539810160051,TSB,159.8327,470.9294,83.61,190.99,-0.5711,-67.1899,-7.1464,20.84,Very Low,260.1191,4.0029,82.93,Low,Risk-driven,17
539810200024,TSB,147.7043,226.6432,243.88,186.0,0.0979,8.1564,1.6566,28.86,Very Low,530.04,2.7197,77.78,Low,Risk-driven,30
539810200036,TSB,112.1567,163.4848,90.5,109.37,0.2054,23.6904,6.3368,46.17,Low,1147.456,1.4175,50.0,Low,Policy-driven,30
539810200048,TSB,208.6339,235.1282,121.38,171.6,7.8181,208.4826,29.9782,27.38,Very Low,1219.8589,8.8173,70.37,Low,Risk-driven,30
539810200050,TSB,75.3813,93.5923,157.95,114.65,0.4926,34.8105,13.8538,43.29,Low,767.0145,1.3244,57.41,Low,Policy-driven,30
539810200190,TSB,,,,,,,,31.1,Low,259.4501,,56.25,Low,Policy-driven,0
539810221015,TSB,27.1763,34.7649,,200.0,0.0,27.1763,28.0,19.33,Very Low,50.4271,,82.69,Low,Risk-driven,28
539810611024,SBA,4.4376,20.8559,100.0,17.39,-0.9793,-4.258,-22.0692,47.49,Low,24.7826,4.7969,97.87,Medium,Policy-driven,23
539810830056,TSB,222.8016,224.3358,,200.0,0.0,222.8016,4.0,14.34,Very Low,2040.3156,,89.29,Low,Risk-driven,4
539811049986,SBA,0.6319,0.6666,70.65,193.95,3.3263,0.4435,10.5277,19.26,Very Low,5.226,4.9993,87.18,Medium,Risk-driven,15
539811050022,SBA,1.0388,1.248,33.73,174.18,2.0902,0.6967,16.0968,29.65,Very Low,9.5735,3.7439,66.67,Medium,Risk-driven,24
539811050046,SBA,0.95,0.95,,200.0,0.0,0.95,11.0,15.3,Very Low,11.4,,97.14,Medium,Risk-driven,11
539811130029,TSB,129.4801,175.4668,122.22,110.3,0.4561,53.2843,12.3457,49.21,Low,1547.7595,1.5019,33.33,Low,Policy-driven,30
539811150030,TSB,100.1622,121.8963,54.74,172.23,1.3834,66.6106,17.9557,29.66,Very Low,271.4155,2.5317,60.78,Low,Risk-driven,27
539811180021,SBA,0.7852,0.7852,,200.0,0.0,0.7852,28.0,16.44,Very Low,9.4219,,94.23,Medium,Risk-driven,28
539811180045,SBA,0.4765,1.3883,100.0,168.42,-0.4911,-0.1551,-6.1834,21.11,Very Low,2.4429,4.3964,97.67,Medium,Risk-driven,19
539811180057,SBA,1.2074,1.6455,84.92,197.24,1.5787,0.5816,9.153,16.65,Very Low,10.9485,4.4664,95.35,Medium,Risk-driven,19
539811180069,SBA,2.2707,2.2707,,200.0,0.0,2.2707,19.0,16.16,Very Low,27.2488,,95.35,Medium,Risk-driven,19
539811180070,SBA,0.1583,0.1583,,200.0,0.0,0.1583,19.0,15.58,Very Low,1.9,,97.67,Medium,Risk-driven,19
539811180082,SBA,0.1583,0.1583,,200.0,0.0,0.1583,19.0,15.58,Very Low,1.9,,97.67,Medium,Risk-driven,19
539811180094,SBA,0.1583,0.1583,,200.0,0.0,0.1583,19.0,15.58,Very Low,1.9,,97.67,Medium,Risk-driven,19
539811180100,SBA,0.1583,0.1583,,200.0,0.0,0.1583,19.0,15.58,Very Low,1.9,,97.67,Medium,Risk-driven,19
539811190026,SBA,2.4182,2.4182,,200.0,0.0,2.4182,28.0,15.96,Very Low,29.0182,,96.15,Medium,Risk-driven,28
539811200020,SBA,0.8035,0.8035,,200.0,0.0,0.8035,28.0,16.44,Very Low,9.6421,,94.23,Medium,Risk-driven,28
539811210025,SBA,0.7816,0.7816,,200.0,0.0,0.7816,28.0,16.44,Very Low,9.3791,,94.23,Medium,Risk-driven,28
539811281019,TSB,28.5307,43.2778,65.69,182.02,0.1754,2.7664,2.521,28.84,Very Low,318.0263,2.7444,72.0,Low,Risk-driven,26
539811550250,SBA,,,,,,,,28.2,Very Low,43.0521,,76.19,Medium,Risk-driven,0
539811600022,SBA,9.5,9.5,,200.0,0.0,9.5,20.0,15.57,Very Low,114.0,,97.73,Medium,Risk-driven,20
539811710022,TSB,0.3158,0.3705,,200.0,0.0,0.3158,21.0,17.22,Very Low,0.9777,,91.11,Low,Risk-driven,21
539812250020,SBA,9.5,9.5,,200.0,0.0,9.5,20.0,15.57,Very Low,114.0,,97.73,Medium,Risk-driven,20
539812290028,SBA,1.9,1.9,,200.0,0.0,1.9,3.0,14.67,Very Low,22.8,,96.3,Medium,Risk-driven,3
539812480024,SBA,6.4464,6.4464,,200.0,0.0,6.4464,21.0,16.11,Very Low,77.3571,,95.56,Medium,Risk-driven,21
539812480036,SBA,0.4816,0.4816,,200.0,0.0,0.4816,21.0,16.67,Very Low,5.7795,,93.33,Medium,Risk-driven,21
539812480048,SBA,1.4615,1.4615,,200.0,0.0,1.4615,21.0,16.11,Very Low,17.5385,,95.56,Medium,Risk-driven,21
539812601022,TSB,24.9479,41.1746,218.5,144.88,0.0299,0.5646,0.5657,41.9,Low,176.0613,2.1809,65.31,Low,Policy-driven,25
539812641044,SBA,0.5071,0.5881,60.42,195.07,4.6232,0.402,18.2342,17.46,Very Low,3.0735,6.7626,93.62,Medium,Risk-driven,23
539812690020,TSB,37.9121,44.4623,138.2,141.33,1.2271,28.468,22.5268,39.16,Low,171.3479,1.9165,44.44,Low,Policy-driven,30
539812721052,TSB,1.8642,1.9047,,200.0,0.0,1.8642,7.0,14.53,Very Low,14.3565,,93.55,Low,Risk-driven,7
539812840016,TSB,30.3419,40.747,78.77,111.72,0.0018,0.0567,0.0561,63.71,Medium,347.6211,1.2615,25.93,Low,Forecast-assisted,30
539812900049,TSB,2.5958,2.7844,44.04,174.37,4.8443,2.3253,22.3942,23.57,Very Low,19.9407,5.8009,83.67,Low,Risk-driven,25
539812910020,TSB,0.5857,1.6435,91.66,197.69,-0.4613,-0.1845,-7.8757,17.44,Very Low,2.2428,4.1087,91.84,Low,Risk-driven,25
539813440022,SBA,0.2628,0.7041,96.97,199.06,-0.6272,-0.1254,-11.9333,17.71,Very Low,1.087,3.5205,89.8,Medium,Risk-driven,25
539813440710,SBA,0.5307,0.5307,,200.0,0.0,0.5307,2.0,21.6,Very Low,6.3683,,76.92,Medium,Risk-driven,2
539813442018,SBA,,,,,,,,20.58,Very Low,2.28,,80.0,Medium,Risk-driven,0
539813960030,SBA,1.6011,1.6011,,200.0,0.0,1.6011,27.0,18.43,Very Low,19.2135,,86.27,Medium,Risk-driven,27
539813960169,SBA,0.9931,0.9931,,200.0,0.0,0.9931,3.0,16.53,Very Low,11.917,,88.89,Medium,Risk-driven,3
539814380288,SBA,0.8038,0.8038,,200.0,0.0,0.8038,10.0,15.64,Very Low,9.6462,,94.12,Medium,Risk-driven,10
539814380586,SBA,0.95,0.95,,200.0,0.0,0.95,5.0,12.95,Very Low,11.4,,96.55,Medium,Risk-driven,5
539814382170,SBA,,,,,,,,34.2,Low,46.9473,,50.0,Medium,Policy-driven,0
539814460065,TSB,,,,,,,,22.67,Very Low,23.5526,,83.33,Low,Risk-driven,0
539814460843,SBA,,,,,,,,20.17,Very Low,114.0,,83.33,Medium,Risk-driven,0
539816700018,TSB,2.255,4.2273,65.69,188.41,-0.0593,-0.0811,-1.0785,32.66,Low,4.0171,3.0932,66.67,Low,Policy-driven,30
539816761032,TSB,2.5926,3.1765,509.75,197.83,67.4072,2.5926,26.0,21.88,Very Low,5.7765,82.5895,74.0,Low,Risk-driven,26
539817320023,SBA,3.8,3.8,,200.0,0.0,3.8,28.0,15.48,Very Low,45.6,,98.08,Medium,Risk-driven,28
539817320060,SBA,0.76,0.76,,200.0,0.0,0.76,11.0,16.01,Very Low,9.12,,94.29,Medium,Risk-driven,11
539817430072,SBA,3.8,3.8,,200.0,0.0,3.8,1.0,18.92,Very Low,45.6,,96.0,Medium,Risk-driven,1
539818371075,TSB,1.1769,1.1957,,200.0,0.0,1.1769,6.0,15.83,Very Low,9.6112,,86.67,Low,Risk-driven,6
539818371191,SBA,,,,,,,,21.73,Very Low,45.6,,93.75,Medium,Risk-driven,0
539819621026,TSB,3.1795,4.1177,,200.0,0.0,3.1795,29.0,17.83,Very Low,5.4693,,88.68,Low,Risk-driven,29
539820831033,TSB,8.5033,10.075,58.73,144.35,0.3703,2.1219,6.4879,39.42,Low,88.3186,1.7581,54.0,Low,Policy-driven,26
539820860021,TSB,12.5141,29.2471,80.79,193.59,-0.1187,-0.8429,-1.9533,23.6,Very Low,109.4974,4.1173,90.57,Low,Risk-driven,29
539820980087,SBA,2.435,2.435,,200.0,0.0,2.435,12.0,18.47,Very Low,29.2197,,86.11,Medium,Risk-driven,12
539820980099,TSB,90.8436,96.5145,,200.0,0.0,90.8436,12.0,19.17,Very Low,514.8754,,83.33,Low,Risk-driven,12
539821090016,TSB,1.9394,2.4601,81.71,195.28,1.9264,1.0373,13.9064,20.33,Very Low,7.5327,4.5687,82.0,Low,Risk-driven,26
539821091100,TSB,18.3594,19.2323,470.06,140.25,3.6719,18.3594,6.0,37.96,Low,224.5679,3.8465,43.33,Low,Policy-driven,6
539821091215,SBA,,,,,,,,25.17,Very Low,74.28,,83.33,Medium,Risk-driven,0
539821910020,TSB,74.3268,101.5523,106.15,134.7,0.4151,22.1999,6.8696,42.38,Low,493.1252,1.8989,36.17,Low,Policy-driven,23
539823791010,SBA,,,,,,,,25.09,Very Low,22.8,,66.67,Medium,Risk-driven,0
539825241013,TSB,363.4624,572.3799,244.9,105.3,-0.2351,-97.8799,-8.079,52.46,Medium,4904.082,1.375,25.93,Low,Forecast-assisted,30
539825611059,SBA,1.9,1.9,,200.0,0.0,1.9,7.0,13.72,Very Low,22.8,,96.77,Medium,Risk-driven,7
539825640023,TSB,3.4697,4.3841,,200.0,0.0,3.4697,27.0,19.41,Very Low,6.9407,,82.35,Low,Risk-driven,27
539825640047,SBA,6.0628,6.3126,76.83,165.44,1.1123,3.0986,7.1551,31.46,Low,60.3772,2.266,65.79,Medium,Policy-driven,14
539825701012,TSB,3.3844,4.982,86.04,138.53,-0.1519,-0.4913,-4.3548,36.87,Low,49.1705,1.5408,55.56,Low,Policy-driven,30
539827130024,SBA,1.2653,1.2653,,200.0,0.0,1.2653,30.0,16.85,Very Low,15.1837,,92.59,Medium,Risk-driven,30
539827750105,SBA,,,,,,,,30.12,Low,1200.477,,70.59,Medium,Policy-driven,0
539827750129,SBA,,,,,,,,21.42,Very Low,570.0,,93.33,Medium,Risk-driven,0
539828400035,TSB,2.4182,2.5543,58.39,187.99,31.4367,2.4182,26.0,19.6,Very Low,18.6341,33.2055,90.0,Low,Risk-driven,26
539829480026,TSB,,,,,,,,28.53,Very Low,78.1819,,61.54,Low,Risk-driven,0
539829480038,TSB,,,,,,,,28.53,Very Low,78.1819,,61.54,Low,Risk-driven,0
539829580021,TSB,1.6067,2.1064,,200.0,0.0,1.6067,30.0,16.85,Very Low,2.5605,,92.59,Low,Risk-driven,30
539829590166,SBA,10.6055,10.6055,,200.0,0.0,10.6055,5.0,14.67,Very Low,127.2655,,89.66,Medium,Risk-driven,5
539829590180,SBA,1.0778,1.0916,44.24,191.58,3.6957,0.8696,13.7162,20.13,Very Low,12.4144,4.6391,85.37,Medium,Risk-driven,17
539829900088,SBA,0.1193,0.4108,100.0,133.33,-0.5682,-0.0473,-9.5238,27.19,Very Low,0.6909,4.9293,97.92,Medium,Risk-driven,24
539830680131,SES/Holt,,,,,,,,53.92,Low,240.0,,0.0,High,Policy-driven,0
539830920026,SBA,0.9887,1.15,76.87,197.5,4.3951,0.7325,22.2255,16.83,Very Low,7.702,6.9002,94.44,Medium,Risk-driven,30
539830920038,SBA,0.8832,0.9628,29.03,194.18,26.4968,0.8832,30.0,18.33,Very Low,6.5138,28.8854,90.74,Medium,Risk-driven,30
539830920040,SBA,0.9448,1.0422,71.09,197.01,5.6641,0.7552,23.9807,16.91,Very Low,7.447,7.8168,94.44,Medium,Risk-driven,30
539830920051,SBA,0.707,0.707,,200.0,0.0,0.707,2.0,18.72,Very Low,8.4837,,88.46,Medium,Risk-driven,2
539830920063,SBA,0.9579,0.9579,,200.0,0.0,0.9579,28.0,16.92,Very Low,11.4948,,92.31,Medium,Risk-driven,28
539830920075,SBA,1.2454,1.2454,,200.0,0.0,1.2454,30.0,17.32,Very Low,14.9452,,90.74,Medium,Risk-driven,30
539830920087,SBA,0.6924,0.7372,53.2,195.75,9.3214,0.6214,26.9265,17.6,Very Low,5.282,11.0581,92.59,Medium,Risk-driven,30
539830920117,SBA,0.4697,0.863,90.65,197.28,0.1297,0.0311,1.6572,23.37,Very Low,3.166,3.5959,91.84,Medium,Risk-driven,25
539831440097,SBA,0.475,0.475,,200.0,0.0,0.475,7.0,13.72,Very Low,5.7,,96.77,Medium,Risk-driven,7
